Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P50416,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2",1,1,1,1,88.3,CPT1A,8.22E+04,1.28E+05,2.94E+05,3.25E+05,,2.47E+04,1.50E+05,4.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5TA45,Integrator complex subunit 11 OS=Homo sapiens OX=9606 GN=INTS11 PE=1 SV=2,7,4,8,4,67.6,INTS11,4.07E+05,4.02E+05,1.06E+06,1.09E+06,,2.46E+04,1.04E+05,5.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UN37,Vacuolar protein sorting-associated protein 4A OS=Homo sapiens OX=9606 GN=VPS4A PE=1 SV=1,7,2,6,2,48.9,VPS4A,1.88E+05,1.97E+05,4.44E+05,8.14E+05,,2.46E+04,1.95E+05,7.60E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40926,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",9,2,4,2,35.5,MDH2,1.12E+05,1.13E+05,1.27E+05,2.13E+05,4.27E+04,2.45E+04,1.56E+05,1.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y6C9,Mitochondrial carrier homolog 2 OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=1,21,5,9,5,33.3,MTCH2,7.89E+05,1.45E+05,2.28E+06,4.52E+06,,2.45E+04,5.57E+05,5.16E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96PV6,Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3,13,7,13,7,88.1,LENG8,1.04E+06,1.79E+06,2.43E+06,4.17E+06,3.59E+04,2.43E+04,2.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",13,4,7,4,43.3,PDHA1,1.50E+05,2.03E+05,4.03E+05,1.02E+06,,2.43E+04,6.13E+04,2.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96MG7,Non-structural maintenance of chromosomes element 3 homolog OS=Homo sapiens OX=9606 GN=NSMCE3 PE=1 SV=1,9,3,8,3,34.3,NSMCE3,1.12E+06,1.13E+06,1.89E+06,2.35E+06,,2.41E+04,2.36E+05,2.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NX02,"NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens OX=9606 GN=NLRP2 PE=1 SV=1",8,7,13,7,120.4,NLRP2,1.34E+06,1.05E+06,3.08E+06,2.99E+06,2.08E+04,2.40E+04,7.12E+04,7.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2,8,2,6,2,35.3,AIMP2,1.18E+05,1.37E+05,4.40E+05,5.94E+05,,2.40E+04,8.92E+04,6.55E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,16,5,9,3,62.3,DPYSL2,5.53E+05,1.37E+05,4.85E+05,3.83E+05,,2.40E+04,3.30E+05,1.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR50,Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1,4,2,3,2,50.2,EIF2B3,,1.20E+05,1.77E+05,,,2.38E+04,8.22E+04,4.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11047,Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,6,6,15,6,177.5,LAMC1,3.64E+05,2.71E+05,2.65E+06,3.78E+06,1.27E+04,2.37E+04,2.33E+05,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,8,13,20,13,251.3,ASCC3,1.11E+06,2.03E+06,3.54E+06,3.99E+06,,2.37E+04,4.38E+05,7.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,3,1,1,1,29.5,PSMA1,,,,2.50E+05,5.47E+04,2.36E+04,9.49E+04,2.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13425,Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1,6,3,7,2,57.9,SNTB2,3.56E+05,2.99E+05,7.85E+05,6.42E+05,1.51E+04,2.35E+04,1.35E+05,4.23E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXW9,Fanconi anemia group D2 protein OS=Homo sapiens OX=9606 GN=FANCD2 PE=1 SV=2,4,5,9,5,164,FANCD2,2.15E+05,3.15E+05,7.15E+05,4.94E+05,4.23E+04,2.34E+04,1.67E+05,7.19E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9H089,Large subunit GTPase 1 homolog OS=Homo sapiens OX=9606 GN=LSG1 PE=1 SV=2,1,1,3,1,75.2,LSG1,1.68E+05,2.41E+05,4.76E+05,9.64E+05,,2.30E+04,1.37E+05,3.43E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q658N2,WSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WSCD1 PE=2 SV=1,1,1,2,1,65.7,WSCD1,5.07E+04,8.57E+04,1.73E+05,3.07E+05,,2.30E+04,5.19E+04,3.33E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q53HL2,Borealin OS=Homo sapiens OX=9606 GN=CDCA8 PE=1 SV=2,20,4,5,4,31.3,CDCA8,1.08E+05,2.33E+05,3.19E+05,2.01E+05,,2.29E+04,2.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H9A6,Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1,8,4,6,4,68.2,LRRC40,6.22E+04,4.73E+04,6.57E+05,7.08E+05,,2.28E+04,1.76E+05,6.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,7,7,10,7,156.2,KTN1,3.35E+05,2.58E+05,8.14E+05,1.91E+06,7.04E+03,2.27E+04,8.10E+04,3.36E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16563,Synaptophysin-like protein 1 OS=Homo sapiens OX=9606 GN=SYPL1 PE=1 SV=1,4,1,1,1,28.5,SYPL1,,1.05E+05,,2.18E+05,4.60E+04,2.25E+04,7.22E+04,2.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60869,Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,10,1,3,1,16.4,EDF1,4.38E+05,2.20E+05,4.06E+05,1.60E+06,,2.23E+04,2.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UBB4,Ataxin-10 OS=Homo sapiens OX=9606 GN=ATXN10 PE=1 SV=1,7,3,5,3,53.5,ATXN10,1.51E+05,6.05E+04,4.76E+05,8.26E+05,,2.23E+04,1.18E+05,6.04E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1 OS=Homo sapiens OX=9606 GN=HSDL1 PE=1 SV=3,3,1,4,1,37,HSDL1,5.06E+04,,9.17E+04,8.26E+04,,2.23E+04,7.31E+04,4.68E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20248,Cyclin-A2 OS=Homo sapiens OX=9606 GN=CCNA2 PE=1 SV=2,2,1,1,1,48.5,CCNA2,,1.96E+05,3.46E+05,4.17E+05,1.27E+04,2.22E+04,5.65E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q7Z4Q2,HEAT repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=HEATR3 PE=1 SV=2,1,1,1,1,74.5,HEATR3,1.54E+05,1.87E+05,2.53E+05,6.84E+05,,2.20E+04,4.21E+04,1.15E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q96SN8,CDK5 regulatory subunit-associated protein 2 OS=Homo sapiens OX=9606 GN=CDK5RAP2 PE=1 SV=5,0,1,2,1,214.9,CDK5RAP2,1.79E+04,7.05E+04,3.20E+05,2.45E+05,,2.19E+04,5.28E+04,2.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95218,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2,3,1,1,1,37.4,ZRANB2,2.38E+05,2.90E+05,6.91E+05,9.10E+05,,2.19E+04,1.88E+05,2.50E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86X29,Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens OX=9606 GN=LSR PE=1 SV=4,4,2,3,2,71.4,LSR,2.37E+05,1.77E+05,4.54E+05,9.04E+05,,2.18E+04,3.76E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T5P2,Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2,4,5,6,5,214,KIAA1217,4.62E+05,6.28E+05,8.57E+05,1.41E+06,,2.17E+04,,3.25E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P48059,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens OX=9606 GN=LIMS1 PE=1 SV=4,4,1,1,1,37.2,LIMS1,1.39E+05,1.49E+05,3.13E+05,4.69E+05,,2.17E+04,1.40E+05,2.97E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92522,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,10,2,2,2,22.5,H1-10,6.72E+05,5.38E+05,9.38E+05,2.14E+06,,2.17E+04,4.32E+05,9.80E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99543,DnaJ homolog subfamily C member 2 OS=Homo sapiens OX=9606 GN=DNAJC2 PE=1 SV=4,11,5,11,5,72,DNAJC2,6.83E+05,7.30E+05,9.14E+05,2.83E+06,,2.14E+04,3.12E+05,4.46E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61962,DDB1- and CUL4-associated factor 7 OS=Homo sapiens OX=9606 GN=DCAF7 PE=1 SV=1,11,3,5,3,38.9,DCAF7,3.85E+05,4.21E+05,8.21E+05,8.68E+05,,2.14E+04,1.42E+05,4.87E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,25,12,27,12,70.7,PICALM,2.04E+06,2.71E+06,5.11E+06,4.79E+06,,2.13E+04,1.62E+05,5.28E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31483,Cytotoxic granule associated RNA binding protein TIA1 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3,11,4,10,2,42.9,TIA1,1.83E+05,7.98E+05,2.65E+06,2.62E+06,5.18E+04,2.12E+04,1.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08237,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2",6,4,6,2,85.1,PFKM,1.04E+05,5.33E+04,,3.19E+05,1.25E+04,2.12E+04,2.81E+04,9.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1,15,4,9,4,36.9,RPRD1B,5.15E+05,1.93E+05,1.39E+06,2.54E+06,,2.11E+04,1.48E+05,3.70E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWW6,Rho GTPase-activating protein 12 OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1,8,5,8,5,96.2,ARHGAP12,4.80E+05,9.91E+05,1.92E+06,1.86E+06,,2.10E+04,4.82E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25391,Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2,1,4,7,4,336.9,LAMA1,2.48E+05,8.47E+04,2.46E+06,3.03E+06,,2.09E+04,6.92E+04,1.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6ZVX7,F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1,4,1,2,1,30.8,NCCRP1,,3.02E+04,,,6.14E+04,2.09E+04,5.96E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P54198,Protein HIRA OS=Homo sapiens OX=9606 GN=HIRA PE=1 SV=2,4,2,2,2,111.8,HIRA,,3.34E+05,8.50E+05,8.19E+05,1.81E+04,2.09E+04,9.57E+04,2.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZ32,Actin-related protein 10 OS=Homo sapiens OX=9606 GN=ACTR10 PE=1 SV=1,10,4,8,4,46.3,ACTR10,1.24E+06,4.91E+05,1.14E+06,1.20E+06,,2.09E+04,7.51E+04,2.50E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15942,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,5,2,2,2,61.2,ZYX,3.33E+05,2.97E+05,6.09E+05,1.09E+06,,2.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",3,1,1,1,85.4,ACO2,,5.22E+05,9.73E+05,6.53E+05,,2.08E+04,,7.21E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,6,3,4,3,52.9,PSMD12,,1.92E+05,1.94E+05,2.30E+05,8.15E+03,2.05E+04,1.41E+05,3.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96IZ0,PRKC apoptosis WT1 regulator protein OS=Homo sapiens OX=9606 GN=PAWR PE=1 SV=1,39,8,23,8,36.5,PAWR,2.42E+06,1.90E+06,4.94E+06,8.38E+06,,2.04E+04,3.04E+05,6.95E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5JVF3,PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2,21,7,19,7,46,PCID2,1.47E+06,1.88E+06,3.55E+06,4.23E+06,,2.04E+04,4.63E+05,9.84E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27824,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,9,4,11,4,67.5,CANX,5.44E+05,4.25E+04,1.63E+06,2.54E+06,,2.03E+04,2.36E+05,3.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96I25,Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1,24,9,29,9,44.9,RBM17,1.30E+06,2.65E+06,7.15E+06,1.18E+07,,2.03E+04,3.04E+05,5.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6Y7W6,GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1,7,5,14,5,150,GIGYF2,6.85E+05,1.18E+06,2.30E+06,2.97E+06,,2.03E+04,2.05E+05,6.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2,9,4,62,2,66.1,IGF2BP2,1.25E+05,4.12E+05,6.85E+05,1.58E+06,,2.02E+04,,1.59E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86UE4,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,26,10,19,10,63.8,MTDH,7.94E+05,2.41E+06,8.71E+06,1.13E+07,,2.01E+04,3.48E+05,9.28E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14126,Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,16,12,28,12,122.2,DSG2,1.25E+06,7.29E+05,6.87E+06,1.10E+07,,2.00E+04,2.25E+05,2.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43148,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1,6,2,3,2,54.8,RNMT,2.49E+05,2.95E+05,5.62E+05,7.29E+05,,1.99E+04,7.86E+04,3.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P2N5,RNA-binding protein 27 OS=Homo sapiens OX=9606 GN=RBM27 PE=1 SV=2,15,11,25,10,118.6,RBM27,8.37E+05,2.06E+06,4.98E+06,5.72E+06,1.93E+04,1.98E+04,5.77E+04,1.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H967,WD repeat-containing protein 76 OS=Homo sapiens OX=9606 GN=WDR76 PE=1 SV=2,1,1,7,1,69.7,WDR76,1.24E+05,2.33E+05,4.64E+05,3.75E+05,,1.98E+04,1.18E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09234,U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1,13,2,5,2,17.4,SNRPC,2.81E+05,4.32E+05,1.24E+06,2.07E+06,,1.96E+04,1.50E+05,1.82E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IU81,Interferon regulatory factor 2-binding protein 1 OS=Homo sapiens OX=9606 GN=IRF2BP1 PE=1 SV=1,7,2,2,2,61.6,IRF2BP1,,1.31E+05,,,1.25E+05,1.96E+04,1.42E+05,9.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q9H7L9,Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens OX=9606 GN=SUDS3 PE=1 SV=2,2,1,1,1,38.1,SUDS3,1.18E+05,2.01E+05,3.66E+05,3.64E+05,,1.95E+04,5.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHB9,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,28,14,23,14,70.7,SRP68,9.88E+05,2.35E+06,5.61E+06,5.77E+06,,1.94E+04,6.09E+05,2.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NBJ5,Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,3,2,4,2,71.6,COLGALT1,6.57E+04,4.17E+04,1.98E+05,2.26E+05,,1.94E+04,7.45E+04,5.33E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T3I0,G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2,11,4,7,4,50.4,GPATCH4,2.19E+05,4.08E+05,9.55E+05,1.65E+06,,1.94E+04,5.65E+04,2.38E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75964,"ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=3",13,1,1,1,11.4,ATP5MG,,9.06E+04,2.36E+05,5.79E+05,,1.92E+04,8.35E+04,6.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WYL5,Protein phosphatase Slingshot homolog 1 OS=Homo sapiens OX=9606 GN=SSH1 PE=1 SV=2,3,1,1,1,115.4,SSH1,,1.40E+05,3.64E+05,,,1.92E+04,4.81E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NY12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,19,4,6,4,22.3,GAR1,9.62E+05,7.86E+05,1.16E+06,2.22E+06,1.08E+04,1.92E+04,5.11E+05,8.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61204,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,35,5,23,3,20.6,ARF3,7.76E+05,1.00E+06,2.08E+06,2.23E+06,,1.91E+04,4.31E+05,5.21E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WY07,Cationic amino acid transporter 3 OS=Homo sapiens OX=9606 GN=SLC7A3 PE=1 SV=1,6,3,10,3,67.1,SLC7A3,1.33E+06,7.85E+05,1.72E+06,1.17E+06,,1.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1",5,3,9,3,102.1,AASS,3.16E+05,2.39E+05,8.51E+05,1.46E+05,1.73E+04,1.90E+04,1.30E+05,1.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,1,1,1,1,123.7,VCL,1.55E+05,,,1.70E+05,,1.88E+04,,1.82E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q1ED39,Lysine-rich nucleolar protein 1 OS=Homo sapiens OX=9606 GN=KNOP1 PE=1 SV=1,29,10,23,10,51.6,KNOP1,2.81E+06,3.48E+06,6.15E+06,9.52E+06,,1.88E+04,1.60E+05,3.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q71UM5,40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3,38,3,15,1,9.5,RPS27L,4.02E+05,4.97E+05,7.87E+05,1.31E+06,,1.87E+04,1.46E+05,5.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96P11,28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NSUN5 PE=1 SV=2,16,6,16,6,46.7,NSUN5,6.23E+05,1.55E+06,2.77E+06,3.71E+06,,1.85E+04,2.49E+05,1.13E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",2,3,10,3,205.3,NACA,9.02E+05,1.01E+06,1.69E+06,1.34E+06,,1.84E+04,8.25E+04,2.36E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14738,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens OX=9606 GN=PPP2R5D PE=1 SV=1,2,1,2,1,69.9,PPP2R5D,2.66E+05,1.94E+05,4.92E+05,1.13E+06,,1.84E+04,1.91E+05,5.23E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86U38,Nucleolar protein 9 OS=Homo sapiens OX=9606 GN=NOP9 PE=1 SV=1,22,9,26,9,69.4,NOP9,9.30E+05,1.35E+06,3.57E+06,6.88E+06,3.83E+04,1.82E+04,1.79E+05,1.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P14373,Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1,3,1,1,1,58.5,TRIM27,1.96E+05,1.67E+05,5.57E+05,4.59E+05,,1.82E+04,4.58E+04,3.70E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96DV4,"39S ribosomal protein L38, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL38 PE=1 SV=2",2,1,2,1,44.6,MRPL38,1.04E+05,,2.48E+05,,,1.79E+04,8.52E+04,5.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HAV4,Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1,10,9,25,9,136.2,XPO5,6.39E+05,1.12E+06,3.79E+06,3.03E+06,,1.79E+04,2.33E+05,3.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13427,Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2,3,2,2,2,88.6,PPIG,1.21E+05,2.28E+05,1.46E+05,1.01E+06,,1.79E+04,1.36E+05,3.17E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,9,12,24,12,190.6,PIK3C2A,8.42E+05,1.38E+06,3.01E+06,2.38E+06,,1.78E+04,1.44E+05,1.59E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
